Local Authority,LA ID,Site (application),Name,Location,Location Coordinates,Boundary GeoJSON,Residential Units,Habitable Rooms,Commercial Area,Storeys,Date,Gross Development Value,Construction Costs,Professional Fees,Marketing and Letting,Finance,"Financial planning obligations, Inc AH",Developer Profit,Residual Land Value,Benchmark Land Value,Affordable Housing Percentage
Tower Hamlets,TWH,PA/17/03015,Jolles House,"Jolles House, Bromley High Street, Blue Anchor Public House, 67 Bromley High Street and 67A Bromley High Street, London, E3","51.528289, -0.015796",,70,209,0,6,01/12/2017,"£21,722,012","£16,534,811","£198,418","£563,594","£1,061,471","£29,511","£1,569,466","-£555,258","£2,240,000",91
Tower Hamlets,TWH,PA/18/00528,Gillender Street,"Barratt Industrial Estate, 20-22 Gillender Street, London","51.521457, -0.010233",,307,839,"1,613",20,16/03/2018,"£114,658,450","£54,011,711","£7,480,619","£906,882","£5,102,745","£1,654,443","£19,732,719","-£846,152","£7,170,000",46
Tower Hamlets,TWH,PA/18/00065,Regency Court,"Regency Court, 10 Norman Grove, London, E3 5EG","51.530986, -0.033363",,92,300,0,4,12/01/2018,"£27,195,577","£22,435,542","£2,692,265","£365,800","£474,709","£107,299","£543,912","-£4,751,358","£4,900,000",65
Tower Hamlets,TWH,PA/19/00078,519-523 Cambridge Heath Road,"519-523 Cambridge Heath Road, London, E2 9BU","51.533389, -0.057512",,13,22,£150,5.00,08/01/2019,"£5,380,821","£2,408,482","240,848","£73,957","£211,096","£39,466","£780,683","£2,061,818","£1,271,784",0
Southwark,SWK,VA 17/AP/2330,"Solomon’s Passage, Blocks A, B, C & D, Peckham Rye, London, SE15","Solomon’s Passage, Blocks A, B, C & D, Peckham Rye, London, SE15 3UH","51.4613874894496, -0.061051769082853","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/2330"", ""keyval"": ""ZZZV0TKBWR440"", ""datemodified"": ""2017\/06\/21"", ""address"": ""40-46 Solomons Passage (Formerly 159-161 Peckham Rye)\rLondon\rSE15"", ""description"": ""Demolition of 42 and 44 Solomon's Passage (blocks B and C which contain 48 residential units) and erection of a new part 4, part 6-storey building over existing, rearranged basement car park to provide 50 residential units, together with provision of landscaping works (use class C3).\n"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 45840 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.061797734119799, 51.461025616882743 ], [ -0.061679886422928, 51.46111473725059 ], [ -0.061698465134816, 51.46112439680121 ], [ -0.061465570680083, 51.461276254080438 ], [ -0.061196048955086, 51.461482522329845 ], [ -0.061010112312963, 51.46162957982957 ], [ -0.060840843138982, 51.461772605243468 ], [ -0.060728398254491, 51.461835384575721 ], [ -0.060671995066312, 51.461852697682907 ], [ -0.060651026695885, 51.461857296786199 ], [ -0.06040209290746, 51.461714997179904 ], [ -0.060586192374857, 51.461577712251945 ], [ -0.060289475034136, 51.461403965879512 ], [ -0.060365208938012, 51.46135038160466 ], [ -0.060665927346239, 51.461514302036242 ], [ -0.060984411148403, 51.461283935119027 ], [ -0.061382793651244, 51.460991607177725 ], [ -0.061518204699954, 51.460888209392714 ], [ -0.061786082985627, 51.461020298435187 ], [ -0.061797734119799, 51.461025616882743 ] ] ] ] } }]}",87,153,0,6,05/03/2018,"48,631,446","20,288,000","2,028,800",,"2,195,979",,"7,029,607","-1,961,763",,46
Southwark,SWK,VA 17/AP/3885,Aylesbury Estate,Aylesbury Estate Land Bounded By Albany Road Portland Street Westmoreland Road And Bradenham Close London SE17,"51.4835420010168, -0.090321865840416","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/3885"", ""keyval"": ""ZZZV0XKBWR273"", ""datemodified"": ""2017\/10\/26"", ""address"": ""Aylesbury Estate\rLand Bounded By Albany Road\rPortland Street\rWestmoreland Road And Bradenham Close\rLondon SE17"", ""description"": ""Minor material amendments to planning permission 14\/AP\/3843 for Demolition of existing buildings and redevelopment to provide a mixed use development comprising a number of buildings ranging between 2 to 20 storeys in height (9.45m - 72.2m AOD), providing 830 residential dwellings (Class C3); flexible community use, early years facility (Class D1) or gym (Class D2); public and private open space; formation of new accesses and alterations to existing accesses; energy centre; gas pressure reduction station; associated car and cycle parking and associated works. The proposed amendments include:\n\nProvision of an additional 12 units (including three townhouses in place of the Gas Pressure Reduction Station);\nRevisions to unit and tenure mix;\nInternal reconfiguration and elevational alterations;\nMinor alterations to landscape layouts, amenity space and roof space. "", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 32304 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.092017925363726, 51.48412968137832 ], [ -0.091558129212486, 51.484100625571962 ], [ -0.09141953133544, 51.483972958876748 ], [ -0.091244730847828, 51.484018655631104 ], [ -0.090605462169175, 51.48409302996933 ], [ -0.090071081978752, 51.48415238308592 ], [ -0.089598947309446, 51.484231443539528 ], [ -0.089280509590646, 51.484320740334098 ], [ -0.089106126282742, 51.484364642193327 ], [ -0.089039970669245, 51.484390541888523 ], [ -0.088828934584685, 51.484441939345686 ], [ -0.0888126596269, 51.484419192566136 ], [ -0.088831086062454, 51.484407361871142 ], [ -0.088590560483507, 51.484028017993133 ], [ -0.088301705014425, 51.483549443562936 ], [ -0.088322198910798, 51.483436857503463 ], [ -0.088585109796683, 51.483314842346012 ], [ -0.088856961039696, 51.4832545447074 ], [ -0.089743038804827, 51.4829713190449 ], [ -0.090172495656357, 51.482896149193316 ], [ -0.091767217864497, 51.482648089842471 ], [ -0.091826855611885, 51.482667135508215 ], [ -0.092009974263473, 51.483318473129216 ], [ -0.092033734034998, 51.483437975772567 ], [ -0.092048520648524, 51.483618563039499 ], [ -0.09201105994458, 51.483636828967597 ], [ -0.092033594080938, 51.483665962974598 ], [ -0.092065620420089, 51.483814817081395 ], [ -0.092088822335632, 51.483913187000553 ], [ -0.092099083883085, 51.483960646065832 ], [ -0.092107435355505, 51.484059044124116 ], [ -0.092017925363726, 51.48412968137832 ] ] ] ] } }]}",122,356,1600.162,20,6/4/2018,"53,902,845","69,166,039","6,587,242","1,091,350","5,536,903","820,359","4,834,592",,,50
Southwark,SWK,VA 17/AP/3910,"136 – 142 New Kent Road, SE1 6TU",136-142 New Kent Road London SE1 6TU,"51.4938089765073, -0.092541401937528","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/3910"", ""keyval"": ""ZZZV0RKBWR787"", ""datemodified"": ""2017\/10\/24"", ""address"": ""136-142 New Kent Road\rLondon\rSE1 6TU"", ""description"": ""Demolition of the existing building and construction of a part 13 storey\/part 9 storey block fronting onto New Kent Road and a part 6 storey\/part 4-storey block fronting onto Munton Road, to provide a mixed-use development, with basement, providing 81 residential units, 1361sqm of flexible business floor space\/non-residential institution (Use Class B1\/D1) and 448sqm of retail floor space (Use Class A1) with associated cycle parking, servicing, refuse and recycling, landscaping and private and communal residential amenity space. "", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 31259 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.092356213988498, 51.494046419638579 ], [ -0.092354338690806, 51.494039923460875 ], [ -0.092325810687566, 51.494040709348617 ], [ -0.092248126658471, 51.493672008385822 ], [ -0.092214773677553, 51.49355649552264 ], [ -0.092327880511145, 51.493550485042185 ], [ -0.092477287700292, 51.493539012925197 ], [ -0.092485631976867, 51.493561711063698 ], [ -0.092530979189859, 51.493626997497238 ], [ -0.092760963746855, 51.493595046620342 ], [ -0.092816607345183, 51.493744653046555 ], [ -0.092876150673917, 51.494031055167781 ], [ -0.092880901448851, 51.494031132429662 ], [ -0.092356213988498, 51.494046419638579 ] ] ] ] } }]}",81,231,1808.82,13,04/06/2018,"46,934,613","26,867,420","2,686,742","460,237","1,714,726","3,098,871","7,518,925","3,361,667",,35
Southwark,SWK,VA 17/AP/4088,Bermondsey Project,Tower Bridge Business Complex 100 Clements Road Aka The Biscuit Factory & Bermondsey Campus Site Keetons Road London SE16 4DG,"51.4946880167662, -0.062417981610557","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/4088"", ""keyval"": ""ZZZV0RKBWR913"", ""datemodified"": ""2017\/10\/24"", ""address"": ""Tower Bridge Business Complex\r100 Clements Road Aka The Biscuit Factory & Bermondsey Campus Site\rKeetons Road London\rSE16 4DG"", ""description"": ""Full planning permission for demolition, alterations and extension of existing buildings and erection of new buildings comprising a mixed use scheme providing up to 1,418 residential units, up to 3,436 sqm GEA of flexible Class A1\/A3\/A4 floorspace, up to 14,666 sqm GEA of flexible Class B1 floorspace, up to 869 sqm GEA of flexible Class D1\/D2 and up to 3,311 sqm GEA of multi use floorspace (A1\/A3\/A4\/D1) within Building BF-F, a new secondary school, in buildings ranging from 6 to 36 storeys in height as well as the creation of a single storey basement. The development also includes communal amenity space, landscaping, childrens' playspace, car and cycle parking, installation of plant, new pedestrian, vehicular and servicing routes, the creation of two new pedestrian routes through the Railway Arches and other associated works; and  \rOutline planning permission (with all matters reserved) for the part demolition and part retention of existing buildings and erection of two new buildings comprising a mixed use scheme providing up to 130 residential units and up to 780 sqm GEA of flexible A1\/A3\/A4\/D1\/Sui Generis Uses and other associated works"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 31755 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.062312205835281, 51.496906393500538 ], [ -0.062275107244429, 51.496772905535025 ], [ -0.061932561532954, 51.496808691853886 ], [ -0.061846296207135, 51.496531813153858 ], [ -0.061562332743607, 51.495433032171853 ], [ -0.061519080484317, 51.495342795633462 ], [ -0.061517866882244, 51.495341858324437 ], [ -0.060761073291346, 51.493672247622222 ], [ -0.060598675313112, 51.493338579272432 ], [ -0.060225770410201, 51.4925742068883 ], [ -0.060226624706935, 51.49257410411581 ], [ -0.060184437720499, 51.492487400752793 ], [ -0.062332414265318, 51.493407805809227 ], [ -0.062728434216018, 51.493099247320011 ], [ -0.062801086505371, 51.493145032981829 ], [ -0.062380277829152, 51.493452822417673 ], [ -0.063989297926758, 51.494152396717055 ], [ -0.064432275426715, 51.493848294749753 ], [ -0.064565688802416, 51.493909200606673 ], [ -0.064067811069702, 51.494217009960025 ], [ -0.064849260763558, 51.494570063089469 ], [ -0.065285401427908, 51.49479212021015 ], [ -0.065256999147313, 51.494817811145005 ], [ -0.065232726922337, 51.494830000351186 ], [ -0.064580139642172, 51.494964867076568 ], [ -0.063524375082792, 51.495121696567196 ], [ -0.062682772759026, 51.495251965548924 ], [ -0.062510563840528, 51.495357814259897 ], [ -0.062764771973175, 51.495844953768355 ], [ -0.063326378222322, 51.495766668889246 ], [ -0.063478682694796, 51.49632656468269 ], [ -0.06295366377234, 51.496477557513025 ], [ -0.063008949198546, 51.496885539633013 ], [ -0.062432708150258, 51.496952889036621 ], [ -0.062312205835281, 51.496906393500538 ] ] ] ] } }]}",1343,2705,19579,36,10/01/2019,"936,705,001","455,301,516","50,524,064","5,551,470","81,474,151","67,807,148","121,833,030",,,32
Southwark,SWK,VA 17/AP/4097,"1A Dog Kennel, London, SE22",1A Dog Kennel Hill London SE22 8AA,"51.4644346882063, -0.083978314800044","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/4097"", ""keyval"": ""ZZZV0TKBWR352"", ""datemodified"": ""2017\/12\/08"", ""address"": ""1A Dog Kennel Hill\rLondon\rSE22 8AA"", ""description"": ""Construction of a 6 storey building including basement bike store in order to provide 22 new dwellings and private and communal amenity space."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 31814 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.083821522768841, 51.464610145149756 ], [ -0.083816898928258, 51.464607110998273 ], [ -0.083699659447947, 51.464450557318159 ], [ -0.084116869658097, 51.464264097199241 ], [ -0.084272693170553, 51.464409311742905 ], [ -0.083821522768841, 51.464610145149756 ] ] ] ] } }]}",22,59,0,6,11/2017,"11,975,000","6,340,000","760,000","350,000","715,000","635,000","1,975,000","920,000","900,000",9
Southwark,SWK,VA 17/AP/4508,"Verney Road, London, SE16","Verney Road, London, SE16","51.4852054466302, -0.063519212927067","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/4508"", ""keyval"": ""ZZZV0RKBWR380"", ""datemodified"": ""2017\/12\/06"", ""address"": ""6-12 Verney Road\rLondon\rSE16 3DH"", ""description"": ""Redevelopment of the site for a mixed use development comprising three buildings (Building 1: basement, ground, ground mezzanine plus 17 storeys (AOD 66.975m); Building 2: basement, ground, ground mezzanine plus 22 storeys (AOD 81.975m); Building 3: basement, ground, ground mezzanine plus 16 storeys (AOD 62.675m) to accommodate 338 residential unit, 5,234 Sqm GEA of commercial floor space (Class B1(c)), associated cycle and car parking, servicing, refuse and recycling, landscaping including contribution towards the new Surrey Canal linear park, and private and communal residential amenity space and children's playspace. (This application represents a departure from strategic policy 10 'Jobs and businesses' of the Core Strategy (2011) and saved policy 1.2 'strategic and local preferred industrial locations' of the Southwark Plan (2007) by virtue of proposing to introduce residential accommodation in a preferred industrial location). REVISED DESCRIPTION"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 31978 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.062920963770453, 51.485054886946784 ], [ -0.062910726580336, 51.484988190308258 ], [ -0.062917132442908, 51.484990993923738 ], [ -0.063268941598798, 51.484953379827118 ], [ -0.063771719379255, 51.484895155589378 ], [ -0.064362066200757, 51.484824714980363 ], [ -0.064634975711328, 51.485060168579679 ], [ -0.06357749040913, 51.48552754762413 ], [ -0.063460932567349, 51.48555690807774 ], [ -0.062756900436459, 51.485638954991536 ], [ -0.062635172489048, 51.48507326743524 ], [ -0.062920963770453, 51.485054886946784 ] ] ] ] } }]}",340,873,317,22,11/2017,"167,728,410","104,802,857","11,004,300","1,741,894","8,797,192","5,787,433","15,425,920",,"10,568,500",36
